58463 2015   12   141213000E305300N   46   56  105    031-------1111-1-111-1111111111-------V1.00---------------------------------------------------------------------------------------------------------------------------------------------------------------
2046 314  24 315  26 316  38------------00000000--------00000000  80----------------  89  95  6310236----  81----  89  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2047 310  23 315  26 305  25------------00000000--------00000000  80----------------  89  95  6310236----  80----  89  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2048 313  20 315  25 320  27------------00000000--------00000000  80----------------  89  95  6310236----  80----  89  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2049 316  16 315  24 312  20------------00000000--------00000000  80----------------  89  95  6310236----  80----  89  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2050 308  11 315  22 305  15------------00000000--------00000000  80----------------  89  95  6310237----  80----  89  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2051 302  13 313  21 298  22------------00000000--------00000000  80----------------  89  95  6310237----  80----  89  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2052 309  15 313  19 319  16------------00000000--------00000000  80----------------  90  96  6510237----  80----  89  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2053 312  14 311  18 304  19------------00000000--------00000000  79----------------  90  96  6410238----  80----  89  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2054 308  15 310  17 312  21------------00000000--------00000000  79----------------  90  96  6410238----  80----  89  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2055 314  17 311  17 317  21------------00000000--------00000000  79----------------  90  96  6410237----  80----  89  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
