58463 2016   01   261213000E305300N   46   56  105    031-------1111-1-111-1111111111-------V1.00---------------------------------------------------------------------------------------------------------------------------------------------------------------
2047 272   7 274   9 272   8------------00000000--------00000000 -46----------------  69  30 -9410348---- -36----  -1   6  17  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2048 272   6 274   9 272   7------------00000000--------00000000 -46----------------  70  30 -9210348---- -36----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2049 270   7 273   9 267   8------------00000000--------00000000 -46----------------  69  30 -9410348---- -36----  -1   6  17  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2050 269   8 273   8 271   9------------00000000--------00000000 -47----------------  69  30 -9510348---- -36----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2051 272   8 272   8 273   9------------00000000--------00000000 -47----------------  69  30 -9510347---- -36----  -1   6  17  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2052 274   8 272   8 275   9------------00000000--------00000000 -47----------------  69  30 -9510347---- -36----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2053 276   8 272   8 277   9------------00000000--------00000000 -47----------------  69  30 -9510347---- -36----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2054 277   8 272   8 277   9------------00000000--------00000000 -48----------------  69  30 -9610347---- -36----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2055 280   8 274   8 283   9------------00000000--------00000000 -48----------------  70  30 -9410347---- -36----  -1   6  17  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2056 285   8 275   8 287   9------------00000000--------00000000 -49----------------  70  30 -9510347---- -36----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
